Sound Spotting and Creation,,,,,,,,,,,,FMOD Implementation,,,Unity Integration,
Item Category and Name,Item Area Location,Sound Movement/Action,Sound Description,Sound Length (if one shot sound),Sound Source,If Foley: What Materials?,If Foley: Made by,If Foley: Recorded by,Created/Mixed by,Notes,,Implemented by,Notes,,Integrated by,Notes
,Player (From Patient's Room),Shoot Neck Corridor,"Muffled, Slight Echo",,,,,,,Lines in Script : Gameplay Section,,,,,,
Nurse,Player (From Patient's Room),Enter Stomach,"Muffled, Slight Echo",,,,,,,Lines in Script : Gameplay Section,,,,,,
,Player (From Patient's Room),Shoot Neck Corridor,"Muffled, Slight Echo",,,,,,,Lines in Script : Gameplay Section,,,,,,
Patient,Player (From Patient's Room),Enter Stomach,"Muffled, Slight Echo",,,,,,,Lines in Script : Gameplay Section, ,,, ,,
,Player (From Patient's Room),Shoot Neck Corridor,"Muffled, Slight Echo",,,,,,,Lines in Script : Gameplay Section,,,,,,
Onscreen Character Voice-over,,,,,,,,,,,,,,,,
Red Blood Cells ,Player Surroundings,Shoot Red Blood Cell,"High Pitched, Squeaky",,Voice Acted,Vocals,Dom,Aidan,Dom,Lines in Script : Gameplay Section,,Dom,,,,
Grunts,,,,,,,,,,, ,,, ,,
Bacteria,Throughout Map,General Vocalizations,Growly/Nasally (?),,Foley,Melon,Dom,Aidan,Aidan,, ,Bryce,, ,Bryce,
,Throughout Map,Killed,Squelchy Growl,,Foley,Melon and Lemon,Aidan,Evan,Aidan,, ,Aidan,, ,Aidan,Bryce NB: spatialised this with attenuation and modify volume by distance
Red Blood Cells,Throughout Map,General Vocalizations,"Bubbly, High Pitched",,,,,,,, ,,, ,,
,Throughout Map,Killed,Squeak/Whine,,,,,,,, ,,, ,,
Patient,Player (From Patient's Room),Shoot Neck Corridor,Coughs,,,,,,,, ,,, ,,
,,,,,,,,,,, ,,, ,,
,,,,,,,,,,, ,,, ,,
Music,,,,,,,,,,, ,,, ,,
Background Music,Throughout Map,,Sci-fi/tech synth,,Sound Library,,,,Dom,, ,Dom,, ,Dom,
,,,,,,,,,,, ,,, ,,
,,,,,,,,,,, ,,, ,,
,,,,,,,,,,, ,,, ,,
,,,,,,,,,,, ,,, ,,
,,,,,,,,,,, ,,, ,,
,,,,,,,,,,, ,,, ,,
,,,,,,,,,,, ,,, ,,
,,,,,,,,,,, ,,, ,,
,,,,,,,,,,, ,,, ,,
,,,,,,,,,,, ,,, ,,
,,,,,,,,,,, ,,, ,,
,,,,,,,,,,, ,,, ,,
,,,,,,,,,,, ,,, ,,
,,,,,,,,,,, ,,, ,,
,,,,,,,,,,, ,,, ,,
,,,,,,,,,,, ,,, ,,
,,,,,,,,,,, ,,, ,,
,,,,,,,,,,, ,,, ,,
,,,,,,,,,,, ,,, ,,
,,,,,,,,,,, ,,, ,,
,,,,,,,,,,, ,,, ,,
,,,,,,,,,,, ,,, ,,
,,,,,,,,,,, ,,, ,,
,,,,,,,,,,, ,,, ,,
,,,,,,,,,,, ,,, ,,
,,,,,,,,,,, ,,, ,,
,,,,,,,,,,, ,,, ,,
,,,,,,,,,,, ,,, ,,
,,,,,,,,,,, ,,, ,,
,,,,,,,,,,, ,,, ,,
,,,,,,,,,,, ,,, ,,
,,,,,,,,,,, ,,, ,,
,,,,,,,,,,, ,,, ,,
,,,,,,,,,,, ,,, ,,
,,,,,,,,,,, ,,, ,,
,,,,,,,,,,, ,,, ,,
,,,,,,,,,,, ,,, ,,
,,,,,,,,,,, ,,, ,,
,,,,,,,,,,, ,,, ,,
,,,,,,,,,,, ,,, ,,
,,,,,,,,,,, ,,, ,,
,,,,,,,,,,, ,,, ,,
,,,,,,,,,,, ,,, ,,
,,,,,,,,,,, ,,, ,,
,,,,,,,,,,, ,,, ,,
,,,,,,,,,,, ,,, ,,
,,,,,,,,,,, ,,, ,,
,,,,,,,,,,, ,,, ,,
,,,,,,,,,,, ,,, ,,
,,,,,,,,,,, ,,, ,,
,,,,,,,,,,, ,,, ,,
,,,,,,,,,,, ,,, ,,
,,,,,,,,,,, ,,, ,,
,,,,,,,,,,, ,,, ,,
,,,,,,,,,,, ,,, ,,
,,,,,,,,,,, ,,, ,,
,,,,,,,,,,, ,,, ,,
,,,,,,,,,,, ,,, ,,
,,,,,,,,,,, ,,, ,,
,,,,,,,,,,, ,,, ,,
,,,,,,,,,,, ,,, ,,
,,,,,,,,,,, ,,, ,,
,,,,,,,,,,, ,,, ,,
,,,,,,,,,,, ,,, ,,
,,,,,,,,,,, ,,, ,,
,,,,,,,,,,, ,,, ,,
,,,,,,,,,,, ,,, ,,
,,,,,,,,,,, ,,, ,,
,,,,,,,,,,, ,,, ,,
,,,,,,,,,,, ,,, ,,
,,,,,,,,,,, ,,, ,,
,,,,,,,,,,, ,,, ,,
,,,,,,,,,,, ,,, ,,
,,,,,,,,,,, ,,, ,,
,,,,,,,,,,, ,,, ,,
,,,,,,,,,,, ,,, ,,
,,,,,,,,,,, ,,, ,,
,,,,,,,,,,, ,,, ,,
,,,,,,,,,,, ,,, ,,
,,,,,,,,,,, ,,, ,,
,,,,,,,,,,, ,,, ,,
,,,,,,,,,,, ,,, ,,
,,,,,,,,,,, ,,, ,,
,,,,,,,,,,, ,,, ,,
,,,,,,,,,,, ,,, ,,
,,,,,,,,,,, ,,, ,,
,,,,,,,,,,, ,,, ,,
,,,,,,,,,,, ,,, ,,
,,,,,,,,,,, ,,, ,,
,,,,,,,,,,, ,,, ,,
,,,,,,,,,,, ,,, ,,
,,,,,,,,,,, ,,, ,,
,,,,,,,,,,, ,,, ,,
,,,,,,,,,,, ,,, ,,
,,,,,,,,,,, ,,, ,,
,,,,,,,,,,, ,,, ,,
,,,,,,,,,,, ,,, ,,
,,,,,,,,,,, ,,, ,,
,,,,,,,,,,, ,,, ,,
,,,,,,,,,,, ,,, ,,
,,,,,,,,,,, ,,, ,,
,,,,,,,,,,, ,,, ,,
,,,,,,,,,,, ,,, ,,
,,,,,,,,,,, ,,, ,,
,,,,,,,,,,, ,,, ,,
,,,,,,,,,,, ,,, ,,
,,,,,,,,,,, ,,, ,,
,,,,,,,,,,, ,,, ,,
,,,,,,,,,,, ,,, ,,
,,,,,,,,,,, ,,, ,,
,,,,,,,,,,, ,,, ,,
,,,,,,,,,,, ,,, ,,
,,,,,,,,,,, ,,, ,,
,,,,,,,,,,, ,,, ,,
,,,,,,,,,,, ,,, ,,
,,,,,,,,,,, ,,, ,,
,,,,,,,,,,, ,,, ,,
,,,,,,,,,,, ,,, ,,
,,,,,,,,,,, ,,, ,,
,,,,,,,,,,, ,,, ,,
,,,,,,,,,,, ,,, ,,
,,,,,,,,,,, ,,, ,,
,,,,,,,,,,, ,,, ,,
,,,,,,,,,,, ,,, ,,
,,,,,,,,,,, ,,, ,,
,,,,,,,,,,, ,,, ,,
,,,,,,,,,,, ,,, ,,
,,,,,,,,,,, ,,, ,,
,,,,,,,,,,, ,,, ,,
,,,,,,,,,,, ,,, ,,
,,,,,,,,,,, ,,, ,,
,,,,,,,,,,, ,,, ,,
,,,,,,,,,,, ,,, ,,
,,,,,,,,,,, ,,, ,,
,,,,,,,,,,, ,,, ,,
,,,,,,,,,,, ,,, ,,
,,,,,,,,,,, ,,, ,,
,,,,,,,,,,, ,,, ,,
,,,,,,,,,,, ,,, ,,
,,,,,,,,,,, ,,, ,,
,,,,,,,,,,, ,,, ,,
,,,,,,,,,,, ,,, ,,
,,,,,,,,,,, ,,, ,,
,,,,,,,,,,, ,,, ,,
,,,,,,,,,,, ,,, ,,
,,,,,,,,,,, ,,, ,,
,,,,,,,,,,, ,,, ,,
,,,,,,,,,,, ,,, ,,
,,,,,,,,,,, ,,, ,,
,,,,,,,,,,, ,,, ,,
,,,,,,,,,,, ,,, ,,
,,,,,,,,,,, ,,, ,,
,,,,,,,,,,, ,,, ,,
,,,,,,,,,,, ,,, ,,
,,,,,,,,,,, ,,, ,,
,,,,,,,,,,, ,,, ,,
,,,,,,,,,,, ,,, ,,
,,,,,,,,,,, ,,, ,,
,,,,,,,,,,, ,,, ,,
,,,,,,,,,,, ,,, ,,
,,,,,,,,,,, ,,, ,,
,,,,,,,,,,, ,,, ,,
,,,,,,,,,,, ,,, ,,
,,,,,,,,,,, ,,, ,,
,,,,,,,,,,, ,,, ,,
,,,,,,,,,,, ,,, ,,
,,,,,,,,,,, ,,, ,,
,,,,,,,,,,, ,,, ,,
,,,,,,,,,,, ,,, ,,
,,,,,,,,,,, ,,, ,,
,,,,,,,,,,, ,,, ,,
,,,,,,,,,,, ,,, ,,
,,,,,,,,,,, ,,, ,,
,,,,,,,,,,, ,,, ,,
,,,,,,,,,,, ,,, ,,
,,,,,,,,,,, ,,, ,,
,,,,,,,,,,, ,,, ,,
,,,,,,,,,,, ,,, ,,
,,,,,,,,,,, ,,, ,,
,,,,,,,,,,, ,,, ,,
,,,,,,,,,,, ,,, ,,
,,,,,,,,,,, ,,, ,,
,,,,,,,,,,, ,,, ,,
,,,,,,,,,,, ,,, ,,
,,,,,,,,,,, ,,, ,,
,,,,,,,,,,, ,,, ,,
,,,,,,,,,,, ,,, ,,
,,,,,,,,,,, ,,, ,,
,,,,,,,,,,, ,,, ,,
,,,,,,,,,,, ,,, ,,
,,,,,,,,,,, ,,, ,,
,,,,,,,,,,, ,,, ,,
,,,,,,,,,,, ,,, ,,
,,,,,,,,,,, ,,, ,,
,,,,,,,,,,, ,,, ,,
,,,,,,,,,,, ,,, ,,
,,,,,,,,,,, ,,, ,,
,,,,,,,,,,, ,,, ,,
,,,,,,,,,,, ,,, ,,
,,,,,,,,,,, ,,, ,,
,,,,,,,,,,, ,,, ,,
,,,,,,,,,,, ,,, ,,
,,,,,,,,,,, ,,, ,,
,,,,,,,,,,, ,,, ,,
,,,,,,,,,,, ,,, ,,
,,,,,,,,,,, ,,, ,,
,,,,,,,,,,, ,,, ,,
,,,,,,,,,,, ,,, ,,
,,,,,,,,,,, ,,, ,,
,,,,,,,,,,, ,,, ,,
,,,,,,,,,,, ,,, ,,
,,,,,,,,,,, ,,, ,,
,,,,,,,,,,, ,,, ,,
,,,,,,,,,,, ,,, ,,
,,,,,,,,,,, ,,, ,,
,,,,,,,,,,, ,,, ,,
,,,,,,,,,,, ,,, ,,
,,,,,,,,,,, ,,, ,,
,,,,,,,,,,, ,,, ,,
,,,,,,,,,,, ,,, ,,
,,,,,,,,,,, ,,, ,,
,,,,,,,,,,, ,,, ,,
,,,,,,,,,,, ,,, ,,
,,,,,,,,,,, ,,, ,,
,,,,,,,,,,, ,,, ,,
,,,,,,,,,,, ,,, ,,
,,,,,,,,,,, ,,, ,,
,,,,,,,,,,, ,,, ,,
,,,,,,,,,,, ,,, ,,
,,,,,,,,,,, ,,, ,,
,,,,,,,,,,, ,,, ,,
,,,,,,,,,,, ,,, ,,
,,,,,,,,,,, ,,, ,,
,,,,,,,,,,, ,,, ,,
,,,,,,,,,,, ,,, ,,
,,,,,,,,,,, ,,, ,,
,,,,,,,,,,, ,,, ,,
,,,,,,,,,,, ,,, ,,
,,,,,,,,,,, ,,, ,,
,,,,,,,,,,, ,,, ,,
,,,,,,,,,,, ,,, ,,
,,,,,,,,,,, ,,, ,,
,,,,,,,,,,, ,,, ,,
,,,,,,,,,,, ,,, ,,
,,,,,,,,,,, ,,, ,,
,,,,,,,,,,, ,,, ,,
,,,,,,,,,,, ,,, ,,
,,,,,,,,,,, ,,, ,,
